20:16:56 | INFO | train | [1480/100000] loss=0.0914 lr_core=2.40e-05 lr_vlm=2.40e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:57 | INFO | train | [1500/100000] loss=0.0946 lr_core=2.50e-05 lr_vlm=2.50e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:16:59 | INFO | train | [1520/100000] loss=0.0529 lr_core=2.60e-05 lr_vlm=2.60e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:01 | INFO | train | [1540/100000] loss=0.3826 lr_core=2.70e-05 lr_vlm=2.70e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:03 | INFO | train | [1560/100000] loss=0.0853 lr_core=2.80e-05 lr_vlm=2.80e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:04 | INFO | train | [1580/100000] loss=0.0574 lr_core=2.90e-05 lr_vlm=2.90e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:06 | INFO | train | [1600/100000] loss=0.0616 lr_core=3.00e-05 lr_vlm=3.00e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:08 | INFO | train | [1620/100000] loss=0.1039 lr_core=3.10e-05 lr_vlm=3.10e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:10 | INFO | train | [1640/100000] loss=0.0990 lr_core=3.20e-05 lr_vlm=3.20e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:11 | INFO | train | [1660/100000] loss=0.0864 lr_core=3.30e-05 lr_vlm=3.30e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:13 | INFO | train | [1680/100000] loss=0.0520 lr_core=3.40e-05 lr_vlm=3.40e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:15 | INFO | train | [1700/100000] loss=0.0478 lr_core=3.50e-05 lr_vlm=3.50e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:17 | INFO | train | [1720/100000] loss=0.0444 lr_core=3.60e-05 lr_vlm=3.60e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:18 | INFO | train | [1740/100000] loss=0.0750 lr_core=3.70e-05 lr_vlm=3.70e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:20 | INFO | train | [1760/100000] loss=0.2123 lr_core=3.80e-05 lr_vlm=3.80e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:22 | INFO | train | [1780/100000] loss=0.0528 lr_core=3.90e-05 lr_vlm=3.90e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:24 | INFO | train | [1800/100000] loss=0.1630 lr_core=4.00e-05 lr_vlm=4.00e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:25 | INFO | train | [1820/100000] loss=0.0490 lr_core=4.10e-05 lr_vlm=4.10e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:27 | INFO | train | [1840/100000] loss=0.1320 lr_core=4.20e-05 lr_vlm=4.20e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
20:17:29 | INFO | train | [1860/100000] loss=0.1537 lr_core=4.30e-05 lr_vlm=4.30e-05 (0.09s/it) USED_CPU=2.41e+00 GB USED_GPU=5.60e+00 GB 
