15:57:39 | INFO | peft_train | [1680/200000] loss=0.0466 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:42 | INFO | peft_train | [1700/200000] loss=0.0531 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:44 | INFO | peft_train | [1720/200000] loss=0.0672 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:46 | INFO | peft_train | [1740/200000] loss=0.0645 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:49 | INFO | peft_train | [1760/200000] loss=0.0550 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:51 | INFO | peft_train | [1780/200000] loss=0.0445 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:54 | INFO | peft_train | [1800/200000] loss=0.0408 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:56 | INFO | peft_train | [1820/200000] loss=0.1481 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:57:58 | INFO | peft_train | [1840/200000] loss=0.1074 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:01 | INFO | peft_train | [1860/200000] loss=0.0746 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:03 | INFO | peft_train | [1880/200000] loss=0.0701 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:06 | INFO | peft_train | [1900/200000] loss=0.0506 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.13s/it)
15:58:08 | INFO | peft_train | [1920/200000] loss=0.0645 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:11 | INFO | peft_train | [1940/200000] loss=0.0483 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:13 | INFO | peft_train | [1960/200000] loss=0.0495 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:15 | INFO | peft_train | [1980/200000] loss=0.0501 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:18 | INFO | peft_train | [2000/200000] loss=0.0525 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:20 | INFO | peft_train | [2020/200000] loss=0.0914 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:23 | INFO | peft_train | [2040/200000] loss=0.0478 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
15:58:25 | INFO | peft_train | [2060/200000] loss=0.0805 lr_core=5.00e-04 lr_vlm=5.00e-05 (0.12s/it)
