19:00:13 | INFO | peft_train | [1580/40000] loss=0.0490 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:16 | INFO | peft_train | [1600/40000] loss=0.0350 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:18 | INFO | peft_train | [1620/40000] loss=0.0351 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:21 | INFO | peft_train | [1640/40000] loss=0.0398 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:23 | INFO | peft_train | [1660/40000] loss=0.0308 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:25 | INFO | peft_train | [1680/40000] loss=0.0393 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:28 | INFO | peft_train | [1700/40000] loss=0.0281 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:30 | INFO | peft_train | [1720/40000] loss=0.0320 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:33 | INFO | peft_train | [1740/40000] loss=0.0278 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:35 | INFO | peft_train | [1760/40000] loss=0.0325 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:38 | INFO | peft_train | [1780/40000] loss=0.0337 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:40 | INFO | peft_train | [1800/40000] loss=0.0420 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:42 | INFO | peft_train | [1820/40000] loss=0.0288 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:45 | INFO | peft_train | [1840/40000] loss=0.0445 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:47 | INFO | peft_train | [1860/40000] loss=0.0383 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:50 | INFO | peft_train | [1880/40000] loss=0.0338 lr_core=4.98e-04 lr_vlm=4.98e-04 (0.12s/it)
19:00:52 | INFO | peft_train | [1900/40000] loss=0.0371 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:00:55 | INFO | peft_train | [1920/40000] loss=0.0321 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:00:57 | INFO | peft_train | [1940/40000] loss=0.0335 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:00 | INFO | peft_train | [1960/40000] loss=0.0331 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:02 | INFO | peft_train | [1980/40000] loss=0.0311 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:05 | INFO | peft_train | [2000/40000] loss=0.0299 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.13s/it)
19:01:07 | INFO | peft_train | 📊 Eval [2000]: pos=0.0234 rot=0.0054
19:01:10 | INFO | peft_train | [2020/40000] loss=0.0296 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.26s/it)
19:01:12 | INFO | peft_train | [2040/40000] loss=0.0403 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:15 | INFO | peft_train | [2060/40000] loss=0.0465 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:17 | INFO | peft_train | [2080/40000] loss=0.0339 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:19 | INFO | peft_train | [2100/40000] loss=0.0369 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:22 | INFO | peft_train | [2120/40000] loss=0.0592 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:24 | INFO | peft_train | [2140/40000] loss=0.0308 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:27 | INFO | peft_train | [2160/40000] loss=0.0311 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:29 | INFO | peft_train | [2180/40000] loss=0.0312 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:32 | INFO | peft_train | [2200/40000] loss=0.0319 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:34 | INFO | peft_train | [2220/40000] loss=0.0322 lr_core=4.97e-04 lr_vlm=4.97e-04 (0.12s/it)
19:01:36 | INFO | peft_train | [2240/40000] loss=0.0334 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:01:39 | INFO | peft_train | [2260/40000] loss=0.0296 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:01:41 | INFO | peft_train | [2280/40000] loss=0.0344 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:01:44 | INFO | peft_train | [2300/40000] loss=0.0304 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
19:01:46 | INFO | peft_train | [2320/40000] loss=0.0300 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.13s/it)
19:01:49 | INFO | peft_train | [2340/40000] loss=0.0321 lr_core=4.96e-04 lr_vlm=4.96e-04 (0.12s/it)
